,Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
17651,Mitsubishi,2019,Hà Nội,Cũ,75000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Ghi,Kem,5,4,RFD,Dầu,2.5,474.0
22398,Toyota,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.5,640.0
7667,Hyundai,2017,Hà Nội,Cũ,1234.0,Lắp ráp trong nước,Van/Minivan,Số tay,Đỏ,Nhiều màu,29,2,RFD,Dầu,3.9,860.0
24611,Toyota,2022,Hà Nội,Cũ,25000.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,1.8,810.0
20752,Toyota,2016,Hà Nội,Cũ,150000.0,Lắp ráp trong nước,Crossover,Số tay,Bạc,Kem,8,5,RFD,Xăng,2.0,309.0
12578,Mazda,2021,Hà Nội,Cũ,14500.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,798.0
586,BMW,2023,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Nâu,7,5,AWD,Xăng,3.0,5549.0
1918,Ford,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.0,1178.0
4847,Honda,2020,Bình Dương,Cũ,84000.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,830.0
24422,Toyota,2020,Bình Dương,Cũ,55000.0,Lắp ráp trong nước,Sedan,Số tự động,Vàng,Trắng,5,4,FWD,Xăng,1.5,446.0
13802,Mazda,2023,Ninh Thuận,Cũ,28000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,410.0
19893,Subaru,2024,Hà Nội,Mới,0.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,5,5,AWD,Xăng,2.0,969.0
17297,MG,2024,Hà Nội,Mới,0.0,Nhập khẩu,Crossover,Số tự động,Bạc,Đen,5,5,FWD,Xăng,1.5,510.0
5636,Hyundai,2022,Hà Nội,Cũ,40000.0,Lắp ráp trong nước,Crossover,Số tự động,Trắng,Đen,5,5,FWD,Dầu,2.0,870.0
1167,Chevrolet,2011,Hà Nội,Cũ,26000.0,Lắp ráp trong nước,Hatchback,Số tay,Trắng,Đen,5,5,FWD,Xăng,0.8,80.0
16259,Mercedes Benz,2022,Hà Nội,Cũ,16093.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,5,5,AWD,Xăng,2.0,2110.0
8899,Kia,2018,Hà Nội,Cũ,70000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Kem,5,4,FWD,Xăng,1.6,445.0
20015,Suzuki,2018,Lâm Đồng,Cũ,55000.0,Nhập khẩu,Hatchback,Số tự động,Đỏ,Đỏ,5,5,FWD,Xăng,1.0,255.0
742,BMW,2022,TP HCM,Mới,0.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5,4,RFD,Xăng,2.0,2759.0
20202,Suzuki,2019,Hà Nội,Cũ,69000.0,Nhập khẩu,Sedan,Số tự động,Bạc,Đen,5,4,FWD,Xăng,1.4,390.0
14745,Mercedes Benz,2019,TP HCM,Cũ,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Đen,5,4,RFD,Xăng,2.0,1189.0
25195,VinFast,2021,Hà Nội,Cũ,38000.0,Lắp ráp trong nước,Hatchback,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.4,336.0
1857,Ford,2017,Hà Nội,Cũ,160000.0,Lắp ráp trong nước,Van/Minivan,Số tay,Bạc,Nâu,11,4,RFD,Dầu,2.4,430.0
13010,Mazda,2024,Hà Nội,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Đỏ,Nâu,5,4,FWD,Xăng,2.5,899.0
20140,Suzuki,2018,Khánh Hòa,Cũ,126000.0,Nhập khẩu,Hatchback,Số tay,Đỏ,Đen,5,5,FWD,Xăng,1.0,200.0
23352,Toyota,2024,TP HCM,Mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Đen,5,5,FWD,Xăng,1.0,506.0
