Tên hãng xe,Năm sản xuất,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích,Giá
MG,2021,Hà Nội,Cũ,51000.0,Nhập khẩu,Crossover,Số tự động,Đen,Đen,5,5,FWD,Xăng,1.5,485.0
Hyundai,2023,TP HCM,Mới,0.0,Lắp ráp trong nước,Van/Minivan,Số tự động,Trắng,Đen,7,5,FWD,Xăng,1.5,805.0
Ford,2009,Hà Nội,Cũ,100000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Xám,5,4,FWD,Xăng,2.3,255.0
Mitsubishi,2019,Tuyên Quang,Cũ,68000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,RFD,Dầu,2.4,780.0
Toyota,2020,Hà Nội,Cũ,49000.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Nâu,7,5,RFD,Dầu,2.4,915.0
Mercedes Benz,2021,Hà Nội,Cũ,45052.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Kem,5,5,AWD,Xăng,2.0,1858.0
Hyundai,2024,Tiền Giang,Mới,0.0,Lắp ráp trong nước,SUV,Số tự động,Đen,Đồng,7,5,AWD,Dầu,2.2,1219.0
Mazda,2021,TP HCM,Cũ,14200.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,760.0
Toyota,2003,TP HCM,Cũ,110000.0,Lắp ráp trong nước,SUV,Số tay,Xanh,Xám,8,5,RFD,Xăng,1.8,145.0
Hyundai,2019,Hà Tĩnh,Cũ,15000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5,5,FWD,Xăng,2.0,499.0
Kia,2022,Vĩnh Phúc,Cũ,25000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,2.0,600.0
Mazda,2022,Hà Nội,Cũ,9500.0,Lắp ráp trong nước,SUV,Số tự động,Đỏ,Đen,5,5,AWD,Xăng,2.5,880.0
VinFast,2022,Hà Nội,Cũ,10000.0,Lắp ráp trong nước,SUV,Số tự động,Xanh,Nâu,5,5,AWD,Điện,0.2,879.0
Toyota,2015,Hà Nội,Cũ,90000.0,Lắp ráp trong nước,Crossover,Số tự động,Vàng,Kem,8,5,RFD,Xăng,2.0,440.0
Honda,2019,Hà Nội,Cũ,72000.0,Nhập khẩu,SUV,Số tự động,Đen,Đen,7,5,FWD,Xăng,1.5,739.0
Kia,2016,Hà Nội,Cũ,72000.0,Lắp ráp trong nước,SUV,Số tự động,Trắng,Kem,7,5,FWD,Dầu,2.2,585.0
Mazda,2024,TP HCM,Mới,0.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5,4,FWD,Xăng,1.5,619.0
