,Tên hãng xe,Tên dòng xe,Năm sản xuất,Giá,Tỉnh,Tình trạng,Số Km đã đi,Xuất xứ,Kiểu dáng,Hộp số,Màu ngoại thất,Màu nội thất,Số chỗ ngồi,Số cửa,Dẫn động,Loại động cơ,Dung tích
9420,Mercedes,Benz GLE Class GLE 450 4Matic,2024.0,3700000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Trắng,Kem,7.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.0
1678,Ford,Everest Titanium 2.0L 4x2 AT,2024.0,1239000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,SUV,Số tự động,Đỏ,Đen,7.0,5.0,RFD - Dẫn động cầu sau,Dầu,2.0
27811,Kia,Sonet Premium 1.5 AT,2024.0,615000000.0,Hà Nội,Xe đã dùng,9000.0,Lắp ráp trong nước,Crossover,Số tự động,Đen,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.5
1013,Ford,Ranger XLS 2.2L 4x2 AT,2015.0,430000000.0,Tuyên Quang,Xe đã dùng,116000.0,Nhập khẩu,Bán tải / Pickup,Số tự động,Trắng,Xám,5.0,4.0,RFD - Dẫn động cầu sau,Dầu,2.2
27144,Subaru,BRZ 2.4 AT EyeSight,2023.0,1899000000.0,Hà Nội,Xe mới,0.0,Nhập khẩu,Coupe,Số tự động,Bạc,Đen,2.0,2.0,RFD - Dẫn động cầu sau,Xăng,2.4
24059,Mazda,6 2.0L Premium,2017.0,515000000.0,Hà Nội,Xe đã dùng,80000.0,Lắp ráp trong nước,Sedan,Số tự động,Xanh,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,2.0
19461,Toyota,Corolla altis 1.8G AT,2021.0,630000000.0,TP HCM,Xe đã dùng,85000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.8
23205,Mazda,3 1.5L Luxury,2021.0,590000000.0,Hà Nội,Xe đã dùng,20000.0,Lắp ráp trong nước,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
24955,Audi,A5 Sportback 2.0,2016.0,779000000.0,Hà Nội,Xe đã dùng,80000.0,Nhập khẩu,Sedan,Số tự động,Đen,Đen,5.0,4.0,AWD - 4 bánh toàn thời gian,Xăng,2.0
11307,Hyundai,Kona 2.0 ATH,2019.0,505000000.0,Thanh Hóa,Xe đã dùng,530.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Đen,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,2.0
25122,Audi,Q8 55 TFSI S-Line Quattro,2020.0,3290000000.0,Hà Nội,Xe đã dùng,27000.0,Nhập khẩu,SUV,Số tự động,Đen,Nâu,5.0,5.0,AWD - 4 bánh toàn thời gian,Xăng,3.0
8074,Mercedes,Benz C class C180 AMG,2021.0,989000000.0,Hà Nội,Xe đã dùng,40000.0,Lắp ráp trong nước,Sedan,Số tự động,Đen,Đen,5.0,4.0,RFD - Dẫn động cầu sau,Xăng,1.5
13799,Honda,Accord 1.5 AT,2020.0,825000000.0,TP HCM,Xe đã dùng,57000.0,Nhập khẩu,Sedan,Số tự động,Trắng,Đen,5.0,4.0,FWD - Dẫn động cầu trước,Xăng,1.5
28993,Kia,Seltos Premium 1.4 AT,2020.0,605000000.0,Hà Nội,Xe đã dùng,58000.0,Lắp ráp trong nước,Crossover,Số tự động,Đỏ,Kem,5.0,5.0,FWD - Dẫn động cầu trước,Xăng,1.4
